Data;Nome da Empresa;TICKER;"EBIT
12 meses
Consolidado
 Milh�es
IFRS";EV;EBIT/EV;EV/EBIT;ROE;ROIC;ROA
31/12/2020;TEKNO;TKNO3;21,47;97,39;0,220453845364;453,609,687,937;672,208,888,912;726,244,900,469;531,643,151,149
31/08/2020;TEKNO;TKNO3;17,85;;;;621,974,684,655;635,029,296,191;519,905,421,753
30/04/2020;TEKNO;TKNO3;17,113;;;;586,909,434,751;609,217,077,052;466,512,560,794
31/12/2019;TEKNO;TKNO3;10,149;;;;5,159,009,435;36,170,290,892;410,047,765,342
30/08/2019;TEKNO;TKNO3;4,83;;;;393,533,191,823;178,533,225,057;327,872,823,912
30/04/2019;TEKNO;TKNO3;-2,26;;;;0,948822832175;-0,84119581094;0,767138474837
31/12/2018;TEKNO;TKNO3;-3,719;;;;0,414131218457;-136,562,107,067;0,334522955357
31/08/2018;TEKNO;TKNO3;-18,731;;;;-933,607,201,112;-721,402,603,769;-790,975,488,666
30/04/2018;TEKNO;TKNO3;-16,088;;;;-795,646,803,304;-601,744,354,085;-66,072,591,858
29/12/2017;TEKNO;TKNO3;-22,44;;;;-103,102,741,235;-808,397,059,064;-872,626,964,283
31/08/2017;TEKNO;TKNO3;-20,228;;;;-854,606,547,197;-714,605,803,354;-727,529,336,241
28/04/2017;TEKNO;TKNO3;-22,407;;;;-909,531,168,379;-77,578,018,035;-787,971,356,782
30/12/2016;TEKNO;TKNO3;-19,52;5,213,448;-0,374416317186;-267,082,377,049;-645,124,931,476;-657,037,943,696;-563,614,797,574
31/08/2016;TEKNO;TKNO3;-22,917;;;;-758,961,883,248;-770,849,323,446;-67,296,885,763
29/04/2016;TEKNO;TKNO3;-22,215;;;;-714,813,262,271;-730,665,537,089;-63,699,026,104
31/12/2015;TEKNO;TKNO3;-14,356;;;;-437,627,572,197;-46,198,809,309;-388,414,314,381
31/08/2015;TEKNO;TKNO3;-2,875;;;;-12,914,606,996;-0,893491988002;-114,622,057,001
30/04/2015;TEKNO;TKNO3;3,472;;;;158,090,200,343;105,397,946,793;138,415,423,779
31/12/2014;TEKNO;TKNO3;4,661;;;;205,587,233,412;142,104,314,968;183,058,251,427
29/08/2014;TEKNO;TKNO3;7,933;10,612,288;0,0747529656187;133,773,956,889;587,459,251,121;235,466,230,133;536,075,273,235
30/04/2014;TEKNO;TKNO3;13,687;;;;767,792,685,267;403,056,357,447;689,287,760,015
31/12/2013;TEKNO;TKNO3;18,625;201,426;0,0924657194205;108,148,187,919;971,469,470,803;553,347,318,004;884,369,352,572
30/08/2013;TEKNO;TKNO3;21,389;;;;101,108,856,784;640,746,742,194;911,624,480,776
30/04/2013;TEKNO;TKNO3;19,524;;;;996,440,507,804;560,037,202,995;899,016,951,412
31/12/2012;TEKNO;TKNO3;16,891;;;;955,792,635,234;498,257,360,073;844,842,843,824
31/08/2012;TEKNO;TKNO3;16,764;;;;122,457,497,303;491,261,472,065;104,639,339,535
30/04/2012;TEKNO;TKNO3;17,757;;;;111,001,918,467;492,340,330,786;936,747,292,054
30/12/2011;TEKNO;TKNO3;;67,466;;;;;
31/08/2011;TEKNO;TKNO3;;6,723,546;;;;;
29/04/2011;TEKNO;TKNO3;;;;;;;
31/12/2010;TEKNO;TKNO3;21,143;72,818;0,290354033343;344,407,132,384;112,009,471,803;601,811,336,378;944,153,729,978
31/08/2010;TEKNO;TKNO3;;7,412,235;;;;;
30/04/2010;TEKNO;TKNO3;;;;;;;
31/12/2009;TEKNO;TKNO3;;736,077,932;;;;;
30/12/2009;TEKNO;TKNO3;;8,010,875;;;;;
31/12/2020;BRASILAGRO;AGRO3;177,856;2,040,178,525;0,0871766846972;114,709,569,821;965,083,170,988;652,447,491,813;509,049,732,166
31/08/2020;BRASILAGRO;AGRO3;164,434;178,161,107,371;0,0922951155987;10,834,809,551;106,595,314,243;606,955,865,205;584,796,866,318
30/04/2020;BRASILAGRO;AGRO3;146,027;18,189,901,705;0,0802791583859;124,565,331,788;111,111,010,417;557,408,149,633;634,073,963,746
31/12/2019;BRASILAGRO;AGRO3;119,974;144,679,818,232;0,0829237978497;120,592,643,599;108,098,277,138;565,077,090,507;67,278,467,102
30/08/2019;BRASILAGRO;AGRO3;185,774;115,666,990,208;0,160611078118;622,622,058,027;201,104,331,127;103,244,017,471;130,433,981,971
30/04/2019;BRASILAGRO;AGRO3;205,068;1,123,701,198;0,18249335354;5,479,651,618;203,508,633,693;113,750,391,859;137,902,759,535
31/12/2018;BRASILAGRO;AGRO3;260,075;109,670,797,876;0,237141522663;421,689,119,969;261,465,042,466;146,989,636,622;17,876,102,905
31/08/2018;BRASILAGRO;AGRO3;146,142;9,825,358,362;0,148739612964;67,231,585,458;167,143,824,815;934,734,136,783;107,102,498,391
30/04/2018;BRASILAGRO;AGRO3;115,634;91,626,836,112;0,126201018071;792,386,634,658;148,886,226,476;854,233,759,489;109,476,257,821
29/12/2017;BRASILAGRO;AGRO3;33,855;78,817,022,832;0,0429539188154;232,807,629,101;649,377,038,348;282,575,622,489;501,711,071,707
31/08/2017;BRASILAGRO;AGRO3;4,24;75,943,199,932;0,00558312002101;179,111,320,594;409,158,191,853;0,358933511877;309,183,928,776
28/04/2017;BRASILAGRO;AGRO3;-20,449;82,736,723,564;-0,0247157478797;-404,600,340,183;-1,687,750,868;-173,715,508,121;-130,669,812,421
30/12/2016;BRASILAGRO;AGRO3;-35,608;5,582,895,218;-0,0637805271451;-156,787,666,199;-446,581,051,359;-298,018,727,238;-362,128,423,499
31/08/2016;BRASILAGRO;AGRO3;-24,509;634,877,062;-0,0386043243125;-259,038,337,753;154,107,417,476;-205,837,426,514;123,862,223,779
29/04/2016;BRASILAGRO;AGRO3;152,167;6,205,042;0,245231216807;407,778,427,649;258,770,990,857;120,116,181,024;211,643,510,206
31/12/2015;BRASILAGRO;AGRO3;180,635;524,550,398;0,34436157267;290,392,447,754;288,905,982,399;141,380,324,482;245,171,345,364
31/08/2015;BRASILAGRO;AGRO3;162,288;371,415,768;0,436944292575;22,886,212,659;24,040,494,292;124,230,971,311;177,640,886,583
30/04/2015;BRASILAGRO;AGRO3;-19,625;642,648,508;-0,0305376885742;-327,464,207,898;;-168,643,340,655;
31/12/2014;BRASILAGRO;AGRO3;-30,285;614,075,616;-0,0493180305665;-202,765,598,811;;-276,392,151,874;
29/08/2014;BRASILAGRO;AGRO3;-26,659;577,998,056;-0,0461229924967;-216,811,604,336;-228,838,203,409;-249,903,986,547;-161,302,394,306
